Профиль №1  с 01.04.2022 по 27.04.2022
Счетчик № 0816190453
Сохранен 27.04.2022 5:46:03

Дата	Время	A+, кВт	A-, кВт	R+, квар	R-, квар	Статус
09.04.2022	06:00-07:00	000,0445	000,0000	000,0217	000,0000	
09.04.2022	07:00-08:00	000,0930	000,0000	000,0378	000,0000	
09.04.2022	08:00-09:00	000,2105	000,0000	000,0637	000,0000	
09.04.2022	09:00-10:00	000,2043	000,0000	000,0598	000,0000	
09.04.2022	10:00-11:00	000,1052	000,0000	000,0356	000,0000	
09.04.2022	11:00-12:00	000,0513	000,0000	000,0228	000,0000	
09.04.2022	12:00-13:00	000,0530	000,0000	000,0224	000,0000	
09.04.2022	13:00-14:00	000,0536	000,0000	000,0221	000,0000	
09.04.2022	14:00-15:00	000,0541	000,0000	000,0221	000,0000	
09.04.2022	15:00-16:00	000,0537	000,0000	000,0231	000,0000	
09.04.2022	16:00-17:00	000,0552	000,0000	000,0223	000,0000	
09.04.2022	17:00-18:00	000,1380	000,0000	000,0456	000,0000	
09.04.2022	18:00-19:00	000,0807	000,0000	000,0282	000,0000	
09.04.2022	19:00-20:00	000,0524	000,0000	000,0224	000,0000	
09.04.2022	20:00-21:00	000,0516	000,0000	000,0212	000,0000	
09.04.2022	21:00-22:00	000,0565	000,0000	000,0239	000,0000	
09.04.2022	22:00-23:00	000,0737	000,0000	000,0274	000,0000	
09.04.2022	23:00-24:00	000,0471	000,0000	000,0185	000,0000	
10.04.2022	00:00-01:00	000,0417	000,0000	000,0174	000,0000	
10.04.2022	01:00-02:00	000,0412	000,0000	000,0170	000,0000	
10.04.2022	02:00-03:00	000,0355	000,0000	000,0148	000,0000	
10.04.2022	03:00-04:00	000,0324	000,0000	000,0138	000,0000	
10.04.2022	04:00-05:00	000,0313	000,0000	000,0139	000,0000	
10.04.2022	05:00-06:00	000,0289	000,0000	000,0146	000,0000	
10.04.2022	06:00-07:00	000,0245	000,0000	000,0137	000,0000	
10.04.2022	07:00-08:00	000,0287	000,0000	000,0165	000,0000	
10.04.2022	08:00-09:00	000,0306	000,0000	000,0149	000,0000	
10.04.2022	09:00-10:00	000,0265	000,0000	000,0141	000,0000	
10.04.2022	10:00-11:00	000,0330	000,0000	000,0170	000,0000	
10.04.2022	11:00-12:00	000,0327	000,0000	000,0169	000,0000	
10.04.2022	12:00-13:00	000,0335	000,0000	000,0163	000,0000	
10.04.2022	13:00-14:00	000,0325	000,0000	000,0160	000,0000	
10.04.2022	14:00-15:00	000,0329	000,0000	000,0165	000,0000	
10.04.2022	15:00-16:00	000,0348	000,0000	000,0166	000,0000	
10.04.2022	16:00-17:00	000,0324	000,0000	000,0163	000,0000	
10.04.2022	17:00-18:00	000,0314	000,0000	000,0165	000,0000	
10.04.2022	18:00-19:00	000,0331	000,0000	000,0171	000,0000	
10.04.2022	19:00-20:00	000,0336	000,0000	000,0170	000,0000	
10.04.2022	20:00-21:00	000,0363	000,0000	000,0177	000,0000	
10.04.2022	21:00-22:00	000,0460	000,0000	000,0207	000,0000	
10.04.2022	22:00-23:00	000,0478	000,0000	000,0212	000,0000	
10.04.2022	23:00-24:00	000,0348	000,0000	000,0175	000,0000	
11.04.2022	00:00-01:00	000,0348	000,0000	000,0167	000,0000	
11.04.2022	01:00-02:00	000,0468	000,0000	000,0214	000,0000	
